time,dlh,xlh,sy
2023-05-23T16:35:30.516Z,0,0,0
2023-05-23T20:39:30.522Z,0,11.75,1.25
2023-05-24T00:43:30.528Z,0,0,0
2023-05-24T04:47:30.534Z,0.5,0,1
2023-05-24T08:51:30.54Z,17.5,0,0
2023-05-24T12:55:30.546Z,0,0,0
2023-05-24T16:59:30.552Z,0,0,0
2023-05-24T21:03:30.558Z,0,14.4,1.2
2023-05-25T01:07:30.564Z,5,0,0
2023-05-25T05:11:30.57Z,0,0,0
2023-05-25T09:15:30.576Z,5.75,0,0
2023-05-25T13:19:30.582Z,0,0,0
2023-05-25T17:23:30.588Z,0,0,1.25
2023-05-25T21:27:30.594Z,0,0,0
2023-05-26T01:31:30.6Z,0,23.75,2
2023-05-26T05:35:30.606Z,0,0,0
2023-05-26T09:39:30.612Z,20.75,0,0
2023-05-26T13:43:30.618Z,0,0,0
2023-05-26T17:47:30.624Z,0,0,1.25
2023-05-26T21:51:30.63Z,0,0,0
2023-05-27T01:55:30.636Z,10.75,0,0
2023-05-27T05:59:30.642Z,0,0,0
2023-05-27T10:03:30.648Z,2.2,0,0
2023-05-27T14:07:30.654Z,0,18.25,0
2023-05-27T18:11:30.66Z,0,0,1.25
2023-05-27T22:15:30.666Z,0,0,0
2023-05-28T02:19:30.672Z,10,0,1.5
2023-05-28T06:23:30.678Z,0,0,0
2023-05-28T10:27:30.684Z,0.25,0,2
2023-05-28T14:31:30.69Z,0,0,0
2023-05-28T18:35:30.696Z,0,0,1.25
2023-05-28T22:39:30.702Z,0,0,0
2023-05-29T02:43:30.708Z,17,41.75,0
2023-05-29T06:47:30.714Z,0,0,0
2023-05-29T10:51:30.72Z,38.25,0,0
2023-05-29T14:55:30.726Z,0,0,0
2023-05-29T18:59:30.732Z,0,5.25,1.25
2023-05-29T23:03:30.738Z,0,0,0
2023-05-30T03:07:30.744Z,5,0,0
2023-05-30T04:00:01Z,0,0,0
